"FOLIO","TIPO SERVICIO","ESTATUS","ZONA","FECHA SERVICIO","OPERADOR","TECNICO","COMPAÑIA","TIENDA","MARCA","MODELO","NUMERO DE SERIE","COMENTARIOS","COMENTARIOS","COMENTARIOS"
"202087","Icon","Nueva","Local","2020-03-09","jessica","ROGELIO.O","liverpool ventas por internet","liverpool ventas por internet","weslo","WLTL29816","","","CONFIRMADO / LLAMAR 1HR ANTES DE IR / ENTRE 10 Y 5",""
"202086","Icon","Nueva","Foraneo","2020-03-10","cristina","tampico","liverpool","tampico - 41","proform","PFTL49616-MX","","","",""
"202085","Icon","Nueva","Foraneo","2020-03-10","jessica","Hermosillo-Francisco Jimenez","liverpool ventas por internet","liverpool ventas por internet","weslo","WLTL29816","","","",""
"202084","Icon","Nueva","Foraneo","2020-03-10","cristina","tampico","liverpool","tampico - 41","nordic track","NTL14216","","","",""
"202083","Icon","Nueva","Foraneo","2020-03-10","jessica","Zacatecas - Luis Olvera","liverpool","zacatecas - 127","proform","24850","","","",""
"202082","Icon","Nueva","Local","2020-03-13","jessica","VICTOR","liverpool","coapa - 6","proform","PFTL49616-MX","","10/03","LLAMAR 1 HORA ANTES DE IR / HORARIO DE 3 A 5",""
"202081","Icon","Nueva","Foraneo","2020-03-10","jessica","Puebla - Jose Luis Cruz","liverpool","serdan puebla - 106","nordic track","25049","","","",""
"202080","Icon","Nueva","Local","2020-03-09","jessica","ISMAEL AMBROSIO","liverpool ventas por internet","liverpool ventas por internet","proform","otro","","","PFEL62919/ CONFIRMADO / LLAMAR 1HR ANTES DE IR/ ENTRE 10 Y 5",""
"202079","Icon","Nueva","Foraneo","2020-03-16","jessica","Irapuato - Sergio Hernandez","liverpool","liverpool","proform","PFTL49616-MX","","","GUANJUATO",""
"202078","Icon","Nueva","Local","2020-03-09","jessica","gustavo","liverpool ventas por internet","liverpool ventas por internet","proform","PFTL49616-MX","","","CONFIRMADO / LLAMAR 1HR ANTES DE IR / ENTRE 10 Y 5",""
"202077","Icon","Nueva","Foraneo","2020-03-13","victor","ESPERA_DE_PARTES","sears","sears","proform","PFTL80916","MM730C0407597","VERSION 4","",""
"202076","Tecnoservicio","Nueva","Local","2020-03-14","cristina","tecnico_ausente","otro","otro","otro","otro","","","LLAMAR 1 HORA ANTES DE IR / HORARIO DE 10 A 2/ REV $450 SE APAGA",""
