"320967","1/8/2019 22:47:15.705005+00","SN MM800C0102675
Version 1
Equipo armado y funcionando correctamente","135912","249"
"320966","1/8/2019 22:43:29.408484+00","pagó en efectivo , recibe Oscar ","135995","113"
"320965","1/8/2019 22:42:47.500949+00","SN KK630C0404137
VERSION 4
Equipo armado y funcionando al 100","135863","249"
"320964","1/8/2019 22:40:58.591053+00","Factura 1203 BAM","135994","253"
"320963","1/8/2019 22:32:14.196389+00","cliente confirmo nueva cita para lunes 5/08/19","134800","99"
"320962","1/8/2019 22:27:25.798211+00","OK DEPOSITADO $550","135950","4"
"320961","1/8/2019 21:50:25.802231+00","PORFAVOR REVISAR EWQUIPÓ Y CORROBORAR NUMERO DE SERIE","135988","99"
"320960","1/8/2019 21:42:19.036926+00","Mary Larios (ICON Health & Fitness, Inc.)
cancelamos esta garantia
Me gusta   ·   Eliminar Hoy a las 3:35 PM","135314","99"
"320959","1/8/2019 21:36:09.812587+00","OK RECIBO $10,120.","135983","4"
"320958","1/8/2019 21:34:59.317694+00","PAGÓ EN EFECTIVO RECIBE OSCAR ","135983","113"
"320957","1/8/2019 21:29:05.77773+00","ok, terminado","134757","99"
"320956","1/8/2019 21:27:19.456854+00","terminado","134755","99"
"320955","1/8/2019 21:20:22.606758+00","PAGÓ EN MERCADO PAGO","135981","113"
"320954","1/8/2019 21:10:43.257297+00","ok,enterado, terminado","134548","99"
"320953","1/8/2019 21:09:44.483358+00","ok, enterado, terminado","135051","99"
"320952","1/8/2019 21:06:03.066487+00","ok, enterado, terminado","135616","99"
"320951","1/8/2019 21:04:49.619105+00","COnfirmado llamar 1 hora antes de ir","135879","253"
"320950","1/8/2019 21:01:22.094246+00","OK, ENTERADO, TERMINADO","134323","99"
"320949","1/8/2019 20:57:09.222056+00","BANDA #173063 $2880 - REV = $2430","135604","11"
"320948","1/8/2019 20:55:32.235309+00","BANDA #173063 $2880 Y TARJETA MC60 $2400 = $5280 - REV = $4830","134997","11"
"320947","1/8/2019 20:55:30.217804+00","no hacer caso al comentario anterior, pagó en amz","135977","113"
"320946","1/8/2019 20:51:49.824275+00","TARJETA #248187 $3200 - REV = $2750 NO HAY SE TIENE QUE PEDIR DE 6 A 8 SEMANAS ","135392","11"
"320945","1/8/2019 20:50:57.289977+00","ok, enterado, terminado","135245","99"
"320944","1/8/2019 20:48:34.088523+00","pagó en mercado pago","135977","113"
"320943","1/8/2019 20:48:27.14059+00","SE INFORMA COSTOS A CLIENTE ","134315","11"
"320942","1/8/2019 20:47:39.727068+00","concluido","133576","99"
"320941","1/8/2019 20:46:42.794394+00","SE LE INFORMA A CLIENTE PIEZA FUERA DE STOCK ","135696","11"
"320940","1/8/2019 20:37:42.967458+00","$5830 - 10% = $ 5247","135563","11"
"320939","1/8/2019 20:33:36.300233+00","recibo complemento de $7500","135846","4"
"320938","1/8/2019 20:25:51.771113+00","mm811n0000028","135883","48"
"320937","1/8/2019 20:23:37.873949+00","BANDA # 119199","134703","11"
"320936","1/8/2019 20:21:06.011577+00","no contesta","135542","48"
"320935","1/8/2019 20:14:58.781106+00","cliente llamo y se indico presupuesto, nos regresa llamada
","134916","253"
"320934","1/8/2019 20:12:17.122117+00","se realiza solo mtto 31 de Julio $ 850","135749","11"
"320933","1/8/2019 20:11:02.870417+00","confirmado con esposa de cliente viernes 2 agosto / pieza de bodega ","135972","6"
"320932","1/8/2019 20:08:29.529089+00","SE PIDIO PIEZA A ICON ","135841","6"
"320931","1/8/2019 20:07:03.47991+00","Equipo instalado.
Pfel04817. 1
KK641N0100036
Se pedirá cambio de pieza","135841","242"
"320930","1/8/2019 19:56:38.326537+00","PFTL39115.1 serial. MM810C0109410","135964","117"
"320929","1/8/2019 19:49:22.993127+00","confirmado con cliente viernes 2 agosto ","135967","6"
"320928","1/8/2019 19:44:48.110643+00","CONFIRMADO CON CLIENTE VIERNES 2 AGOSTO ","135965","6"
"320927","1/8/2019 19:31:59.735922+00","Se le informa a cliente costo de refacciones se le indica que la tarjeta  ya no la fabrican y que posiblemente podríamos hacer una adaptación con un costo de $3200 más el motor que es desmontable $3200 y el shoke $1800 total $8200 checa y llama ","135409","11"
"320926","1/8/2019 19:29:45.185765+00","ESPERAR ICS ","135963","6"
"320925","1/8/2019 19:13:08.170812+00","MOTOR #405692 $3200 - REV = $2750 ","135698","11"
"320924","1/8/2019 19:04:23.77332+00","piezas instaladas . concluido","134757","66"
